fecha,MIN(dp.precio),AVG(dp.precio),MAX(dp.precio),AVG(wd.vel_km_h),MAX(wd.racha_max_km_h)
2019-07-22,52,56.12583255767822,57.69,9.647999954223632,66.96
2019-07-23,50.19,55.028749783833824,58.98,11.160000038146972,46.08
2019-07-24,51.68,55.830833435058594,58.98,9,75.96
2019-07-25,45,53.67249997456869,58.52,10.439999961853028,54
2019-07-26,45.2,52.33500019709269,56.99,8.784000015258789,65.16
2019-07-27,40.5,45.94166660308838,52.06,13.031999778747558,50.04
2019-07-28,40.05,45.59291617075602,58.25,9.647999954223632,36
2019-07-29,40.05,47.96666669845581,56.28,8.207999992370606,36
2019-07-30,39.1,48.03291606903076,55.2,10.58400001525879,47.16
2019-07-31,39.4,47.11291662851969,52.19,13.319999885559081,45
2019-08-01,42,45.733333587646484,50.15,8.207999992370606,38.16
2019-08-02,42,48.816363768144086,51.7,6.552000045776367,47.16
2019-08-03,43.03,47.40916681289673,51.33,7.4700000286102295,42.12
2019-08-04,41.75,46.40791654586792,52.1,9.431999969482423,52.92
2019-08-05,45.6,50.27333370844523,52.79,17.567999839782715,73.08
2019-08-06,46.93,49.9679168065389,52.03,12.67199993133545,47.16
2019-08-07,41.75,49.45875024795532,52.81,9.215999984741211,45
2019-08-08,44.53,47.886666774749756,50.96,9.720000076293946,63
2019-08-09,36.69,43.953333377838135,53.2,10.439999961853028,39.96
2019-08-10,42.66,46.19374974568685,51,8.568000030517577,38.16
2019-08-11,38.01,42.47958326339722,50.9,17.040000279744465,60.12
2019-08-12,36.1,43.5945831934611,50.1,9.144000053405762,64.08
2019-08-13,35,42.92875003814697,49.01,12.239999961853027,42.12
2019-08-14,38.69,45.695833365122475,48.35,9.863999938964843,38.88
2019-08-15,36.57,40.78249979019165,47.75,11.01599998474121,47.88
2019-08-16,41.64,44.47874959309896,48.1,10.152000045776367,43.92
2019-08-17,37,41.90749963124593,47.4,9.144000053405762,42.84
2019-08-18,34.93,38.87916628519694,47.51,10.007999992370605,51.84
2019-08-19,33.25,41.48041613896688,48.37,12.95999984741211,50.04
2019-08-20,32.67,40.02541653315226,47.1,12.455999946594238,50.04
2019-08-21,32,41.114583015441895,47.5,11.01599998474121,38.88
2019-08-22,32,40.99624983469645,47.04,8.855999946594238,39.96
2019-08-23,33.5,41.40749963124593,46.18,9.144000053405762,37.08
2019-08-24,39,42.13958342870077,44.8,7.415999984741211,36
2019-08-25,34.57,39.28083308537801,45.6,10.079999923706055,47.88
2019-08-26,34.7,43.176249980926514,49.06,7.560000038146972,55.08
2019-08-27,48.1,50.31124989191691,53.69,7.992000031471252,37.08
2019-08-28,49,51.193750858306885,53.84,8.784000015258789,38.16
2019-08-29,47.29,50.06541713078817,53.59,8.136000061035157,51.84
2019-08-30,46.02,49.38833316167196,52.49,7.847999954223633,52.92
2019-08-31,39.51,43.83874988555908,48.29,8.352000045776368,43.92
2019-09-01,40,42.846665700276695,46.53,13.319999885559081,59.04
2019-09-02,25,39.78318162397905,49.78,8.549999952316284,60.12
2019-09-03,32.9,43.49125051498413,51.22,6.480000019073486,27
2019-09-04,38.88,43.39291636149088,46.73,11.952000045776368,57.96
2019-09-05,30,37.37124991416931,43.65,11.952000045776368,60.12
2019-09-06,26.21,36.285416762034096,41.43,7.992000007629395,43.92
2019-09-07,27.09,32.86916637420654,40.26,8.92800006866455,41.04
2019-09-08,27.1,34.393750270207725,45.49,12.6,60.12
2019-09-09,34.35,43.5795833269755,50.07,9.215999794006347,52.92
2019-09-10,27.56,34.31541657447815,43.29,9.792000007629394,42.12
2019-09-11,26,34.33249990145365,42,15.839999914169312,100.08
2019-09-12,28.75,38.42083326975504,44.1,13.176000213623047,66.96
2019-09-13,29.61,38.93749944368998,44.91,9.990000009536743,47.88
2019-09-14,30.61,37.234583139419556,47.99,11.231999969482422,43.92
2019-09-15,31.41,38.05791632334391,50,10.152000045776367,48.96
2019-09-16,38.75,47.98375002543131,55.38,7.415999984741211,64.08
2019-09-17,49.86,50.40374994277954,52.03,7.560000038146972,48.96
2019-09-18,47.5,50.241249561309814,54.74,5.4,27
2019-09-19,45.48,50.60833326975504,56.24,7.2,34.92
2019-09-20,45.1,48.50416628519694,53.47,8.639999961853027,48.96
2019-09-21,34.9,39.8608333269755,49.69,9.432000160217285,64.08
2019-09-22,29.86,37.763333320617676,55.32,8.352000045776368,45
2019-09-23,39,45.70041688283285,52.48,7.776000022888184,54
2019-09-24,32.95,42.9916664759318,52.48,8.063999962806701,50.04
2019-09-25,34.95,44.01458342870077,51.74,7.6320000171661375,50.04
2019-09-26,45.54,48.545000076293945,51.51,6.4079999923706055,33.12
2019-09-27,46.49,48.5575000445048,50.89,6.479999971389771,32.04
2019-09-28,37.83,45.68083333969116,50.14,7.344000053405762,38.16
2019-09-29,35.26,42.072916189829506,56.86,6.7680000305175785,37.08
2019-09-30,44.45,49.36875041325887,56.74,5.544000053405762,38.16
2019-10-01,36.97,47.32916704813639,52.92,10.728000068664551,47.16
2019-10-02,35.07,35.68999989827474,36.25,13.607999849319459,70.92
2019-10-03,40.8,48.13181825117631,55.06,8.369999945163727,43.92
2019-10-04,50,52.73624976476034,56.52,10.151999855041504,51.84
2019-10-05,42.8,49.06583293279012,54.12,12.023999977111817,47.88
2019-10-06,39.12,45.237082640329994,52.12,11.231999969482422,47.88
2019-10-07,43.01,50.49708318710327,57.51,8.423999977111816,41.04
2019-10-08,47.1,54.31708319981893,58.97,9.360000038146973,42.84
2019-10-09,40.99,47.88624986012777,55.23,18.792000198364256,78.12
2019-10-10,38.75,46.95958296457926,59.13,8.207999992370606,38.16
2019-10-11,43.56,48.460833390553795,54.69,20.24999976158142,93.96
2019-10-12,30,39.22458322842916,47.1,7.920000076293945,50.04
2019-10-13,30,37.96916667620341,56.41,5.832000064849853,74.16
2019-10-14,32.07,42.424166679382324,52.19,11.231999969482422,74.16
2019-10-15,24.27,42.567916790644325,55.29,9.215999984741211,51.84
2019-10-16,34.11,43.236249923706055,55.05,10.151999855041504,54
2019-10-17,35.99,47.08708349863688,57.44,8.063999938964844,55.08
2019-10-18,36,46.08374993006388,52.68,5.976000022888184,39.96
2019-10-19,36.25,43.359166940053306,50.99,5.832000017166138,42.12
2019-10-20,32.3,41.452083110809326,56.14,8.423999977111816,48.96
2019-10-21,44.19,54.33625030517578,60.46,4.752000045776367,30.96
2019-10-22,38.38,49.40458329518636,57.88,6.624000024795532,48.96
2019-10-23,31.4,45.738333304723106,56.01,11.231999778747559,78.12
2019-10-24,35.91,45.40249983469645,58.97,11.160000038146972,51.84
2019-10-25,39.61,48.797499656677246,60.16,8.135999870300292,56.88
2019-10-26,38.99,45.85791619618734,59.82,7.415999984741211,50.04
2019-10-27,39.98,46.23708311716715,56.85,5.4,39.96
2019-10-28,45.57,53.852500120798744,61.5,4.176000094413757,38.88
2019-10-29,47.05,53.90458313624064,61.23,7.0559999465942385,33.84
2019-10-30,41.21,51.96083291371664,60,7.271999979019165,42.84
2019-10-31,38.1,49.26208289464315,60,8.423999977111816,51.12
2019-11-01,28.9,32.83500003814697,42.1,10.871999931335449,54
2019-11-02,25.8,26.554999351501465,27.31,9.720000076293946,43.92
2019-11-03,6.2,18.983043566994045,39.96,7.019999980926514,37.08
2019-11-04,5.95,28.478750069936115,48.83,12.384000015258788,46.08
2019-11-05,8.45,29.624166409174602,48.01,12.6,39.96
2019-11-06,33.79,40.643750031789146,46.51,11.592000007629395,68.04
2019-11-07,32.11,39.297499656677246,45.88,11.231999969482422,42.12
2019-11-08,28.8,37.5945831934611,49.39,9.07199993133545,43.92
2019-11-09,36.13,40.915416399637856,45.53,15.192000198364259,56.16
2019-11-10,29,37.266249895095825,52.51,6.623999977111817,41.04
2019-11-11,34.75,44.737916469573975,52.85,18.269999980926514,83.88
2019-11-12,38.65,48.059166431427,57.55,14.25600037574768,83.16
2019-11-13,36.32,48.190833568573,57.91,12.383999824523926,74.16
2019-11-14,35.37,45.524582862854004,58.91,14.40000023841858,83.16
2019-11-15,37.57,48.207916577657066,60.46,12.690000057220459,56.16
2019-11-16,38.56,45.74916696548462,54.54,9.809999942779541,51.12
2019-11-17,36.3,43.33500003814697,55.15,7.559999972581863,42.12
2019-11-18,35.68,50.01250012715658,63.05,11.25,48.96
2019-11-19,43.73,57.488749980926514,65.64,6.030000030994415,33.84
2019-11-20,45.27,57.84624973932902,64.92,4.050000011920929,20.88
2019-11-21,41,55.424166679382324,65.35,2.790000081062317,32.04
2019-11-22,35.88,46.31166664759318,54,7.740000009536743,69.12
2019-11-23,25.16,36.77708347638448,52.9,16.82999974489212,74.88
2019-11-24,30,41.01666680971781,51.8,10.079999923706055,65.88
2019-11-25,35.38,47.12291685740153,58.07,9.990000009536743,46.08
2019-11-26,35.91,44.81083313624064,54.79,12.059999942779541,82.08
2019-11-27,30.23,42.071250200271606,50.53,10.440000057220459,51.12
2019-11-28,12.56,40.21458295981089,55.37,9.863999938964843,60.12
2019-11-29,33.14,47.52958297729492,56.53,7.416000032424927,50.04
2019-11-30,35.39,41.36083300908407,50.01,8.27999997138977,56.16
2019-12-01,35.86,43.28708362579346,52.4,8.352000045776368,38.88
2019-12-02,34.46,44.818750540415444,51.47,6.839999961853027,33.12
2019-12-03,39.06,39.760000228881836,40.46,10.440000057220459,61.92
2019-12-04,45.89,53.86782637886379,60.63,8.352000045776368,47.88
2019-12-05,38.72,47.6654167175293,58.3,9.792000007629394,47.16
2019-12-06,40.62,47.67125018437704,54.6,9.792000007629394,65.88
2019-12-07,43.5,47.25874948501587,51.76,10.223999977111816,37.08
2019-12-08,36.2,40.9779159228007,48.6,11.447999954223633,46.08
2019-12-09,28.61,41.357499837875366,52.17,9.990000009536743,54
2019-12-10,35.41,46.59999990463257,55.84,8.568000030517577,88.92
2019-12-11,34.82,43.39833307266235,54.5,11.592000007629395,52.92
2019-12-12,29.77,38.578333139419556,44.59,15.696000099182129,83.88
2019-12-13,6.25,27.17208304007848,38.01,22.608000183105467,104.04
2019-12-14,19.64,28.02875018119812,36.99,15.767999839782714,72
2019-12-15,5.41,26.06291671593984,44.59,9,59.04
2019-12-16,29.19,40.26874979337057,47.45,5.7600000381469725,70.92
2019-12-17,29.19,42.89374963442484,56.27,6.192000007629394,45
2019-12-18,26.5,38.64708288510641,49.1,14.4,105.84
2019-12-19,2.27,22.706249793370564,35.74,9.269999980926514,70.92
2019-12-20,1.76,17.43333339691162,32.51,7.740000009536743,77.04
2019-12-21,2.3,2.5341666440169015,5.26,22.230000019073486,82.08
